comment_id,num_tokens,avg_word_length,num_sentences,num_nouns,num_verbs,num_adjectives,num_adverbs,num_pronouns,num_conjunctions,num_determiners,constructive_category,comment_text
0,161,4.3229813664596275,3,35,17,15,4,14,10,20,0,
1,399,4.1077694235588975,5,57,71,25,21,33,8,41,1,
2,1451,4.164024810475534,14,208,168,80,44,173,53,89,1,
3,507,4.3096646942800785,7,73,69,42,17,36,21,46,1,
4,399,3.8847117794486214,7,50,46,41,28,45,14,24,1,
5,1047,3.896848137535817,12,205,95,60,37,133,35,105,1,
6,450,4.004444444444444,8,61,54,36,29,24,7,36,1,
7,255,4.474509803921569,4,47,28,8,21,16,4,37,1,
8,585,5.724786324786325,9,114,51,49,13,20,21,45,1,
9,2069,4.515708071532141,14,322,324,138,139,192,46,201,1,
10,2308,3.964904679376083,16,311,231,233,115,232,64,233,1,
11,368,4.489130434782608,5,88,42,39,26,21,18,29,1,
12,2107,4.154247745609871,15,375,206,124,184,183,34,189,1,
13,193,4.020725388601036,4,40,19,16,12,20,2,20,0,
14,406,4.386699507389163,5,86,28,18,30,29,7,49,1,
15,622,3.8440514469453375,10,117,74,67,39,63,13,40,1,
16,1220,4.627868852459017,11,171,137,111,113,97,35,53,1,
17,1606,4.207347447073475,12,232,173,90,117,138,37,103,1,
18,142,4.323943661971831,4,20,19,10,8,16,4,13,0,
19,351,3.9458689458689458,6,67,30,25,8,18,7,46,1,
20,1122,4.142602495543672,9,197,78,133,32,137,58,97,1,
21,201,4.970149253731344,4,53,22,16,11,9,11,23,0,
22,151,3.596026490066225,4,8,19,13,18,24,7,4,1,
23,928,4.242456896551724,12,171,157,19,52,113,25,70,1,
24,525,4.156190476190476,8,88,70,69,26,53,18,29,1,
25,434,4.299539170506913,4,82,35,48,17,32,9,55,1,
26,250,4.616,4,41,29,19,14,24,8,24,0,
27,357,4.711484593837535,5,92,30,39,7,16,18,28,1,
28,879,4.242320819112628,11,104,105,74,37,114,30,63,1,
29,481,4.245322245322245,8,101,60,40,13,32,10,47,1,
30,897,4.228539576365663,10,145,82,46,51,62,32,66,1,
31,302,3.6125827814569536,3,36,43,14,21,35,7,33,1,
32,325,4.018461538461539,5,57,31,35,3,7,7,33,1,
33,187,3.8877005347593583,3,31,24,19,14,14,0,28,0,
34,12,4.25,1,2,1,1,0,0,1,1,0,
35,159,3.2767295597484276,5,14,4,6,26,28,5,9,0,
36,189,4.444444444444445,6,36,18,18,17,1,0,18,0,
37,6715,4.4682055100521225,21,1584,593,628,418,274,209,739,1,
38,4289,4.1123805082769875,19,848,422,366,216,265,93,397,1,
39,658,4.095744680851064,5,105,88,45,23,67,6,76,1,
40,1763,4.83494044242768,10,316,179,120,70,67,41,178,1,
41,633,4.123222748815166,8,126,41,51,21,46,23,56,1,
42,465,3.8946236559139784,6,61,52,21,23,38,8,44,1,
43,389,4.097686375321337,6,57,49,31,25,40,9,28,1,
44,81,4.407407407407407,3,14,9,8,3,9,0,10,0,
45,207,3.9806763285024154,4,20,42,8,20,22,7,6,0,
46,408,3.7598039215686274,7,52,53,45,19,53,8,26,1,
47,276,3.467391304347826,6,34,41,13,19,43,3,19,0,
48,346,4.170520231213873,6,46,56,18,17,13,5,15,1,
49,187,4.032085561497326,3,18,21,16,10,26,6,15,1,
50,89,4.235955056179775,3,21,10,4,2,8,0,13,1,
51,334,3.964071856287425,4,60,20,25,13,13,14,45,1,
52,475,3.8905263157894736,4,84,55,33,33,37,14,60,1,
53,408,4.330882352941177,7,63,26,24,5,19,11,49,1,
54,431,3.9419953596287702,6,111,59,16,8,25,22,52,1,
55,792,4.275252525252525,9,160,109,51,55,39,19,77,1,
56,621,3.7085346215781,7,62,74,51,56,51,14,65,1,
57,285,4.656140350877193,5,68,9,33,17,9,6,28,0,
58,663,3.8009049773755654,7,120,86,31,29,79,8,64,1,
59,128,3.8671875,3,23,15,7,7,19,5,10,1,
60,288,4.072916666666667,6,57,24,28,30,23,11,23,0,
61,805,4.3701863354037265,8,132,88,70,46,91,23,67,1,
62,617,4.209076175040519,8,119,78,23,26,86,61,23,1,
63,72,4.486111111111111,2,18,6,10,3,3,1,11,0,
64,144,4.319444444444445,3,33,20,7,4,12,6,6,0,
65,313,4.23961661341853,6,69,35,23,19,16,7,31,1,
66,91,3.4285714285714284,3,18,11,4,0,10,2,7,0,
67,197,4.527918781725888,3,30,7,21,8,5,2,20,0,
68,1024,4.099609375,10,145,100,52,52,91,42,67,1,
69,1004,4.603585657370518,11,158,138,104,39,68,48,41,1,
70,1297,4.910562837316885,15,234,123,68,49,130,24,78,1,
71,1434,3.775453277545328,12,228,208,47,48,112,90,122,1,
72,652,3.9095092024539877,8,107,72,60,19,106,22,38,1,
73,471,3.5307855626326963,6,62,62,28,27,66,15,49,1,
74,920,4.021739130434782,9,170,74,86,11,135,38,67,1,
75,112,4.0,3,16,14,7,0,21,2,6,0,
76,270,4.477777777777778,5,67,52,10,17,20,0,17,1,
77,335,4.528358208955224,7,44,24,43,15,35,5,21,1,
78,354,4.257062146892656,4,56,38,24,19,22,13,40,1,
79,2095,4.093556085918855,17,291,285,99,99,152,105,246,1,
80,264,3.8257575757575757,4,40,31,17,9,22,15,33,0,
81,212,4.452830188679245,4,35,23,23,12,25,8,19,1,
82,6185,4.131608730800323,22,1244,473,535,200,372,225,399,1,
83,709,3.9675599435825104,8,90,88,33,28,29,10,69,1,
84,241,4.178423236514523,3,42,34,14,6,25,5,23,0,
85,828,3.968599033816425,8,191,65,48,22,64,29,93,1,
86,863,4.119351100811124,10,133,90,54,41,73,27,80,1,
87,363,4.404958677685951,6,63,42,14,4,53,9,20,1,
88,240,4.375,5,49,27,2,4,11,6,24,0,
89,599,4.687813021702838,6,132,88,28,33,31,34,47,1,
90,452,3.9469026548672566,5,65,56,38,17,41,21,38,1,
91,521,3.9481765834932823,8,65,64,21,49,32,14,71,1,
92,850,3.8976470588235292,10,169,68,51,28,87,1,74,1,
93,1400,4.237857142857143,14,348,136,66,165,64,36,77,1,
94,123,4.430894308943089,3,24,16,5,4,18,1,11,0,
95,666,4.184684684684685,6,163,60,50,34,32,25,38,1,
96,654,4.206422018348624,11,68,82,26,66,83,39,40,1,
97,90,3.9444444444444446,2,9,13,2,6,4,7,3,1,
98,120,4.391666666666667,2,11,20,9,16,6,2,15,1,
99,207,4.63768115942029,4,43,33,23,23,12,0,3,0,
100,660,4.216666666666667,6,167,42,64,24,26,42,48,1,
101,378,3.7433862433862433,5,23,43,27,38,44,4,24,1,
102,209,4.177033492822966,5,29,27,13,10,25,3,16,1,
103,130,4.092307692307692,3,28,15,1,6,9,4,9,1,
104,429,3.7435897435897436,7,67,38,32,31,39,22,38,1,
105,56,3.482142857142857,3,7,4,8,2,7,2,5,0,
106,213,4.023474178403756,5,41,25,6,0,27,10,16,0,
107,417,3.6522781774580335,5,77,32,45,26,35,8,56,1,
108,1094,3.9378427787934185,9,184,129,80,29,110,65,91,1,
109,1504,4.022606382978723,13,329,102,173,19,87,41,165,1,
110,342,4.4678362573099415,6,66,32,31,7,10,9,42,1,
111,437,4.441647597254004,4,108,47,35,12,36,23,34,1,
112,187,3.5454545454545454,4,40,19,4,14,7,5,24,0,
113,615,4.385365853658537,8,113,57,62,45,29,15,53,1,
114,484,4.103305785123967,7,70,76,28,19,47,0,47,1,
115,297,4.707070707070707,5,51,24,44,18,0,14,37,0,
116,560,4.067857142857143,6,78,43,42,26,36,26,62,1,
117,230,4.895652173913043,4,46,22,35,11,18,4,21,0,
118,578,4.9567474048442905,7,123,58,57,17,26,20,52,1,
119,217,4.023041474654378,4,32,20,25,17,10,3,22,0,
120,512,4.095703125,6,87,49,39,32,31,6,28,1,
121,1837,4.1301034295046275,16,255,245,89,110,114,32,163,1,
122,481,4.245322245322245,8,101,60,40,13,32,10,47,1,
123,218,4.738532110091743,3,29,18,20,15,9,7,22,0,
124,680,4.839705882352941,8,85,119,36,13,92,13,39,1,
125,2384,4.197567114093959,16,327,217,129,108,189,53,209,1,
126,774,4.007751937984496,10,96,88,40,23,103,34,47,1,
127,219,3.872146118721461,5,33,24,12,3,15,6,21,0,
128,1357,4.151805453205601,12,344,146,81,44,34,33,194,1,
129,1131,3.9354553492484525,10,206,156,49,69,83,22,64,1,
130,1055,4.5488151658767775,9,216,138,82,28,60,44,72,1,
131,264,4.5,4,44,26,19,13,27,11,25,1,
132,280,4.7821428571428575,3,68,23,39,8,17,21,11,0,
133,234,4.02991452991453,4,48,31,16,15,35,13,13,1,
134,1687,4.20746887966805,12,310,162,131,99,94,107,181,1,
135,722,4.28393351800554,7,142,55,76,32,26,19,89,1,
136,55,5.6,1,10,6,6,3,6,3,2,0,
137,185,4.648648648648648,3,25,17,22,14,11,0,21,0,
138,515,4.2,6,102,52,51,21,25,9,66,1,
139,229,4.0174672489082965,3,55,23,24,13,25,3,16,0,
140,271,4.280442804428044,5,50,49,14,16,28,20,14,0,
141,509,3.793713163064833,6,107,70,18,23,62,8,56,1,
142,426,3.732394366197183,6,89,71,8,21,19,13,39,1,
143,1136,3.9410211267605635,9,176,124,67,74,84,23,107,1,
144,208,3.6538461538461537,4,39,43,0,6,32,10,19,0,
145,294,4.01360544217687,6,42,31,19,26,31,11,14,0,
146,712,4.139044943820225,6,156,46,58,35,9,10,55,1,
147,1376,4.611191860465116,8,259,130,52,58,96,24,152,1,
148,1002,4.164670658682635,9,195,128,76,27,104,23,70,1,
149,462,3.9393939393939394,7,66,48,56,22,41,19,52,1,
150,306,4.137254901960785,5,44,35,28,22,28,5,32,1,
151,203,4.241379310344827,4,26,28,14,0,20,3,23,1,
152,488,4.831967213114754,7,93,56,41,39,27,11,37,1,
153,522,3.7739463601532566,7,101,47,20,12,27,15,38,1,
154,581,4.376936316695353,10,120,97,41,38,36,8,71,1,
155,280,4.339285714285714,5,47,18,34,18,7,13,28,0,
156,137,4.693430656934306,3,22,12,11,4,1,2,14,0,
157,333,4.306306306306307,5,81,25,34,15,23,19,37,1,
158,47,4.723404255319149,3,8,3,7,0,0,2,6,0,
159,583,3.8267581475128645,6,99,69,30,39,56,25,68,1,
160,107,4.261682242990654,2,15,11,5,5,3,1,8,0,
161,2751,4.2908033442384585,14,582,308,217,115,124,101,247,1,
162,243,5.497942386831276,4,58,16,29,9,7,7,41,0,
163,810,3.88641975308642,9,80,107,29,45,99,36,52,1,
164,81,3.6049382716049383,3,18,3,12,1,3,0,12,0,
165,217,3.4285714285714284,5,36,21,19,7,39,4,12,0,
166,232,3.439655172413793,4,42,25,14,7,29,10,20,1,
167,936,4.436965811965812,8,117,92,90,74,59,34,92,1,
168,192,5.041666666666667,5,34,19,29,10,18,13,2,0,
169,364,4.21978021978022,6,69,38,30,19,24,7,48,1,
170,247,4.449392712550607,5,47,25,14,2,15,5,13,0,
171,1625,4.150153846153846,9,268,187,113,64,149,33,133,1,
172,970,4.2309278350515465,12,105,183,44,64,120,0,64,1,
173,183,4.191256830601093,4,42,21,15,3,14,4,27,0,
174,1058,4.747637051039698,9,150,111,119,41,79,52,98,1,
175,128,4.1328125,4,32,12,11,13,6,3,14,0,
176,454,4.440528634361233,7,119,36,44,24,20,8,43,1,
177,159,4.622641509433962,3,32,9,15,10,2,7,20,1,
178,1233,3.8994322789943228,10,208,111,106,31,86,72,94,1,
179,942,3.997876857749469,9,150,85,85,54,18,17,94,1,
180,297,3.973063973063973,6,37,32,8,20,45,11,24,1,
181,88,4.136363636363637,2,16,7,10,4,7,4,7,0,
182,273,4.289377289377289,4,48,38,30,19,27,15,23,0,
183,195,4.369230769230769,4,32,20,17,15,7,6,16,0,
